Monopoly,748,80.942623,105,35.217667
Risk,748,80.945002,105,35.217632
Pandemic,748,80.941878,105,35.218936
Talisman,748,80.940278,105,35.221105
Codenames,748,80.941771,105,35.218536
Clank,748,80.944593,105,35.21946
Poker,11145.8125,80.740057,105,34.881918
Blackjack,748,80.945636,105,35.219517
Roulette,748,80.942338,105,35.217533
Slots,748,80.942794,105,35.217922
Craps,748,80.945586,105,35.217494
Chess,748,80.945562,105,35.219876
Checkers,748,80.938865,105,35.220696
Punderdome,748,80.942878,105,35.218597
Dominion,748,80.943378,105,35.219753
Yahtzee,748,80.945237,105.25,35.217459
Sorry,748,80.942237,105.25,35.219685
Jenga,748,80.941771,105.25,35.218536
Monopoly,748,80.942623,105.25,35.217667
Risk,748,80.945002,105.25,35.217632
Pandemic,748,80.941878,105.25,35.218936
Talisman,748,80.940278,105.25,35.221105
Codenames,748,80.941771,105.25,35.218536
Clank,748,80.944593,105.25,35.21946
Blackjack,748,80.945636,105.25,35.219517
Roulette,748,80.942338,105.25,35.217533
Slots,748,80.942794,105.25,35.217922
Craps,748,80.945586,105.25,35.217494
Chess,748,80.945562,105.25,35.219876
Checkers,748,80.938865,105.25,35.220696
Punderdome,748,80.942878,105.25,35.218597
Dominion,748,80.943378,105.25,35.219753
Yahtzee,748,80.945237,105.5,35.217459
Sorry,748,80.942237,105.5,35.219685
Jenga,748,80.941771,105.5,35.218536
Monopoly,748,80.942623,105.5,35.217667
Risk,748,80.945002,105.5,35.217632
Pandemic,748,80.941878,105.5,35.218936
Talisman,748,80.940278,105.5,35.221105
Codenames,748,80.941771,105.5,35.218536
Clank,748,80.944593,105.5,35.21946
Blackjack,748,80.945636,105.5,35.219517
Roulette,748,80.942338,105.5,35.217533
Slots,748,80.942794,105.5,35.217922
Craps,748,80.945586,105.5,35.217494
Chess,748,80.945562,105.5,35.219876
Checkers,748,80.938865,105.5,35.220696
Punderdome,748,80.942878,105.5,35.218597
Dominion,748,80.943378,105.5,35.219753
Yahtzee,748,80.945237,105.75,35.217459
Sorry,748,80.942237,105.75,35.219685
Jenga,748,80.941771,105.75,35.218536
Monopoly,748,80.942623,105.75,35.217667
Risk,748,80.945002,105.75,35.217632
Pandemic,748,80.941878,105.75,35.218936
Talisman,748,80.940278,105.75,35.221105
Codenames,748,80.941771,105.75,35.218536
Clank,748,80.944593,105.75,35.21946
Blackjack,748,80.945636,105.75,35.219517
Roulette,748,80.942338,105.75,35.217533
Slots,748,80.942794,105.75,35.217922
Craps,748,80.945586,105.75,35.217494
Chess,748,80.945562,105.75,35.219876
Checkers,748,80.938865,105.75,35.220696
Punderdome,748,80.942878,105.75,35.218597
Dominion,748,80.943378,105.75,35.219753
Yahtzee,748,80.945237,106,35.217459
Sorry,748,80.942237,106,35.219685
Jenga,748,80.941771,106,35.218536
Monopoly,748,80.942623,106,35.217667
Risk,748,80.945002,106,35.217632
Pandemic,748,80.941878,106,35.218936
Talisman,748,80.940278,106,35.221105
Codenames,748,80.941771,106,35.218536
Clank,748,80.944593,106,35.21946
Blackjack,748,80.945636,106,35.219517
Roulette,748,80.942338,106,35.217533
Slots,748,80.942794,106,35.217922
Craps,748,80.945586,106,35.217494
Chess,748,80.945562,106,35.219876
Checkers,748,80.938865,106,35.220696
Go,13870.021484,80.98597,106,34.864561
Punderdome,748,80.942878,106,35.218597
Dominion,748,80.943378,106,35.219753
Yahtzee,748,80.945237,106.25,35.217459
Sorry,748,80.942237,106.25,35.219685
Jenga,748,80.941771,106.25,35.218536
Monopoly,748,80.942623,106.25,35.217667
Risk,748,80.945002,106.25,35.217632
Pandemic,748,80.941878,106.25,35.218936
Talisman,748,80.940278,106.25,35.221105
Codenames,748,80.941771,106.25,35.218536
Clank,748,80.944593,106.25,35.21946
Blackjack,748,80.945636,106.25,35.219517
Roulette,748,80.942338,106.25,35.217533
Slots,748,80.942794,106.25,35.217922
Craps,748,80.945586,106.25,35.217494
